Race_ID,Bet_Type,Status,Odds_Payload_Bytes,Fetched_At_UTC,Error
202506010911,WIN,OK,1038,2026-09-07T10:11:32.406102+00:00,
202506010911,QUINELLA,OK,5063,2026-09-07T10:11:32.406565+00:00,
202506010911,WIDE,OK,5159,2026-09-07T10:11:32.408040+00:00,
202506010911,EXACTA,OK,10372,2026-09-07T10:11:32.409722+00:00,
202506010911,TRIO,OK,30040,2026-09-07T10:11:32.410499+00:00,
202506010911,TRIFECTA,OK,189826,2026-09-07T10:11:32.411468+00:00,
202508010611,WIN,OK,686,2026-09-07T10:11:32.412317+00:00,
202508010611,QUINELLA,OK,2120,2026-09-07T10:11:32.413168+00:00,
202508010611,WIDE,OK,2138,2026-09-07T10:11:32.413939+00:00,
202508010611,EXACTA,OK,4344,2026-09-07T10:11:32.414775+00:00,
202508010611,TRIO,OK,7811,2026-09-07T10:11:32.415633+00:00,
202508010611,TRIFECTA,OK,49391,2026-09-07T10:11:32.416700+00:00,
202507020211,WIN,OK,563,2026-09-07T10:11:32.684607+00:00,
202507020211,QUINELLA,OK,1405,2026-09-07T10:11:32.721572+00:00,
202507020211,WIDE,OK,1411,2026-09-07T10:11:32.867905+00:00,
202507020211,EXACTA,OK,2844,2026-09-07T10:11:32.926211+00:00,
202507020211,TRIO,OK,4067,2026-09-07T10:11:32.946689+00:00,
202507020211,TRIFECTA,OK,25918,2026-09-07T10:11:32.949420+00:00,
202509010811,WIN,OK,624,2026-09-07T10:11:32.958765+00:00,
202509010811,QUINELLA,OK,1748,2026-09-07T10:11:32.962902+00:00,
202509010811,WIDE,OK,1758,2026-09-07T10:11:32.965151+00:00,
202509010811,EXACTA,OK,3545,2026-09-07T10:11:32.967871+00:00,
202509010811,TRIO,OK,5761,2026-09-07T10:11:32.970053+00:00,
202509010811,TRIFECTA,OK,36299,2026-09-07T10:11:32.982443+00:00,
202506020211,WIN,OK,918,2026-09-07T10:11:32.993751+00:00,
202506020211,QUINELLA,OK,3912,2026-09-07T10:11:33.053590+00:00,
202506020211,WIDE,OK,3956,2026-09-07T10:11:33.097305+00:00,
202506020211,EXACTA,OK,8018,2026-09-07T10:11:33.245793+00:00,
202506020211,TRIO,OK,20348,2026-09-07T10:11:33.275512+00:00,
202506020211,TRIFECTA,OK,128719,2026-09-07T10:11:33.290153+00:00,
202506030111,WIN,OK,859,2026-09-07T10:11:33.309501+00:00,
202506030111,QUINELLA,OK,3390,2026-09-07T10:11:33.313860+00:00,
202506030111,WIDE,OK,3435,2026-09-07T10:11:33.316040+00:00,
202506030111,EXACTA,OK,6986,2026-09-07T10:11:33.318333+00:00,
202506030111,TRIO,OK,16439,2026-09-07T10:11:33.321281+00:00,
202506030111,TRIFECTA,OK,104107,2026-09-07T10:11:33.324139+00:00,
202501010811,WIN,OK,918,2026-09-07T10:11:33.325717+00:00,
202501010811,QUINELLA,OK,3906,2026-09-07T10:11:33.377626+00:00,
202501010811,WIDE,OK,3965,2026-09-07T10:11:33.429109+00:00,
202501010811,EXACTA,OK,7997,2026-09-07T10:11:33.433056+00:00,
202501010811,TRIO,OK,20325,2026-09-07T10:11:33.585978+00:00,
202501010811,TRIFECTA,OK,128456,2026-09-07T10:11:33.619274+00:00,
202505040211,WIN,OK,623,2026-09-07T10:11:33.631706+00:00,
202505040211,QUINELLA,OK,1737,2026-09-07T10:11:33.655192+00:00,
202505040211,WIDE,OK,1753,2026-09-07T10:11:33.657435+00:00,
202505040211,EXACTA,OK,3540,2026-09-07T10:11:33.663691+00:00,
202505040211,TRIO,OK,5744,2026-09-07T10:11:33.713299+00:00,
202505040211,TRIFECTA,OK,36259,2026-09-07T10:11:33.731064+00:00,
202508030211,WIN,OK,1037,2026-09-07T10:11:33.761448+00:00,
202508030211,QUINELLA,OK,5041,2026-09-07T10:11:33.793777+00:00,
202508030211,WIDE,OK,5115,2026-09-07T10:11:33.797372+00:00,
202508030211,EXACTA,OK,10281,2026-09-07T10:11:33.854610+00:00,
202508030211,TRIO,OK,29905,2026-09-07T10:11:33.863903+00:00,
202508030211,TRIFECTA,OK,188900,2026-09-07T10:11:33.872447+00:00,
202505040611,WIN,OK,801,2026-09-07T10:11:33.900427+00:00,
202505040611,QUINELLA,OK,2941,2026-09-07T10:11:33.919176+00:00,
202505040611,WIDE,OK,2969,2026-09-07T10:11:33.938632+00:00,
202505040611,EXACTA,OK,6043,2026-09-07T10:11:33.949414+00:00,
202505040611,TRIO,OK,13127,2026-09-07T10:11:34.029687+00:00,
202505040611,TRIFECTA,OK,82954,2026-09-07T10:11:34.046628+00:00,
202505010811,WIN,OK,918,2026-09-07T10:11:34.095152+00:00,
202505010811,QUINELLA,OK,3910,2026-09-07T10:11:34.107760+00:00,
202505010811,WIDE,OK,3968,2026-09-07T10:11:34.132853+00:00,
202505010811,EXACTA,OK,8021,2026-09-07T10:11:34.136306+00:00,
