Race_ID,Race_Name,Bet_Type,Winning_Combination,Payout_per_100yen,Source_URL
202506010911,第66回アメリカジョッキーC(GII),WIN,8,260,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),QUINELLA,8-11,2910,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),WIDE,8-11-8-13-11-13,900,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),EXACTA,8-11,3770,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),TRIO,8-11-13,5660,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),TRIFECTA,8-11-13,24660,https://db.netkeiba.com/race/202506010911/
202508010611,第118回京都記念(GII),WIN,1,950,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),QUINELLA,1-3,8740,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),WIDE,1-3-1-10-3-10,2040,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),EXACTA,1-3,18250,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),TRIO,1-3-10,30700,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),TRIFECTA,1-3-10,188230,https://db.netkeiba.com/race/202508010611/
202507020211,第61回東海テレビ杯金鯱賞(GII),WIN,6,820,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),QUINELLA,2-6,1180,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),WIDE,2-6-4-6-2-4,500,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),EXACTA,6-2,3040,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),TRIO,2-4-6,4470,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),TRIFECTA,6-2-4,28480,https://db.netkeiba.com/race/202507020211/
202509010811,第73回阪神大賞典(GII),WIN,9,570,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),QUINELLA,7-9,5520,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),WIDE,7-9-5-9-5-7,1540,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),EXACTA,9-7,7860,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),TRIO,5-7-9,17050,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),TRIFECTA,9-7-5,87640,https://db.netkeiba.com/race/202509010811/
202506020211,第99回中山記念(GII),WIN,1,310,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),QUINELLA,1-4,1050,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),WIDE,1-4-1-8-4-8,480,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),EXACTA,1-4,1540,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),TRIO,1-4-8,1360,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),TRIFECTA,1-4-8,5800,https://db.netkeiba.com/race/202506020211/
202506030111,第73回日経賞(GII),WIN,8,740,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),QUINELLA,6-8,3350,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),WIDE,6-8-7-8-6-7,830,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),EXACTA,8-6,7490,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),TRIO,6-7-8,1620,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),TRIFECTA,8-6-7,20860,https://db.netkeiba.com/race/202506030111/
202501010811,第61回札幌記念(GII),WIN,9,2560,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),QUINELLA,9-15,7140,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),WIDE,9-15-9-14-14-15,1740,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),EXACTA,9-15,20750,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),TRIO,9-14-15,193350,https://db.netkeiba.com/race/202501010811/
202501010811,第61回札幌記念(GII),TRIFECTA,9-15-14,1307650,https://db.netkeiba.com/race/202501010811/
202505040211,第76回毎日王冠(GII),WIN,9,770,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),QUINELLA,8-9,1850,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),WIDE,8-9-9-10-8-10,560,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),EXACTA,9-8,4290,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),TRIO,8-9-10,1360,https://db.netkeiba.com/race/202505040211/
202505040211,第76回毎日王冠(GII),TRIFECTA,9-8-10,13250,https://db.netkeiba.com/race/202505040211/
202508030211,第60回京都大賞典(GII),WIN,3,1130,https://db.netkeiba.com/race/202508030211/
202508030211,第60回京都大賞典(GII),QUINELLA,3-5,3690,https://db.netkeiba.com/race/202508030211/
202508030211,第60回京都大賞典(GII),WIDE,3-5-3-8-5-8,1280,https://db.netkeiba.com/race/202508030211/
202508030211,第60回京都大賞典(GII),EXACTA,3-5,8770,https://db.netkeiba.com/race/202508030211/
202508030211,第60回京都大賞典(GII),TRIO,3-5-8,99940,https://db.netkeiba.com/race/202508030211/
202508030211,第60回京都大賞典(GII),TRIFECTA,3-5-8,470550,https://db.netkeiba.com/race/202508030211/
202505040611,第28回富士S(GII),WIN,11,710,https://db.netkeiba.com/race/202505040611/
202505040611,第28回富士S(GII),QUINELLA,11-14,620,https://db.netkeiba.com/race/202505040611/
202505040611,第28回富士S(GII),WIDE,11-14-6-11-6-14,270,https://db.netkeiba.com/race/202505040611/
202505040611,第28回富士S(GII),EXACTA,11-14,1800,https://db.netkeiba.com/race/202505040611/
202505040611,第28回富士S(GII),TRIO,6-11-14,1020,https://db.netkeiba.com/race/202505040611/
202505040611,第28回富士S(GII),TRIFECTA,11-14-6,7130,https://db.netkeiba.com/race/202505040611/
202505010811,第42回フェブラリーS(GI),WIN,9,430,https://db.netkeiba.com/race/202505010811/
202505010811,第42回フェブラリーS(GI),QUINELLA,9-12,1830,https://db.netkeiba.com/race/202505010811/
202505010811,第42回フェブラリーS(GI),WIDE,9-12-9-14-12-14,720,https://db.netkeiba.com/race/202505010811/
202505010811,第42回フェブラリーS(GI),EXACTA,9-12,2970,https://db.netkeiba.com/race/202505010811/
202505010811,第42回フェブラリーS(GI),TRIO,9-12-14,2140,https://db.netkeiba.com/race/202505010811/
202505010811,第42回フェブラリーS(GI),TRIFECTA,9-12-14,13510,https://db.netkeiba.com/race/202505010811/
