Race_ID,Race_Name,Finish_Position_Raw,Finish_Position,Horse_No,Horse_Name,Canonical_Horse_Identity,Frame_No,Sex_Age,Carried_Weight,Jockey,Finish_Time,Margin,Passing_Order,Last3F,Body_Weight,Trainer,Source_URL
202506010911,第66回アメリカジョッキーC(GII),1,1,8,ダノンデサイル,202506010911|8|ダノンデサイル,4,牡4,58,戸崎圭太,2:12.1,,7-7-7-5,36.0,516(-4),[西] 安田翔伍,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),2,2,11,マテンロウレオ,202506010911|11|マテンロウレオ,6,牡6,57,横山典弘,2:12.2,3/4,3-3-3-5,36.3,480(-2),[西] 昆貢,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),3,3,13,コスモキュランダ,202506010911|13|コスモキュランダ,7,牡4,57,横山武史,2:12.2,ハナ,14-13-3-2,36.4,510(+6),[東] 加藤士津,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),4,4,4,ボルドグフーシュ,202506010911|4|ボルドグフーシュ,2,牡6,57,内田博幸,2:12.6,2.1/2,9-9-12-12,36.1,506(-10),[西] 宮本博,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),5,5,1,ライラック,202506010911|1|ライラック,1,牝6,55,石川裕紀,2:12.7,クビ,9-9-10-10,36.3,444(-4),[東] 相沢郁,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),6,6,10,ビザンチンドリーム,202506010911|10|ビザンチンドリーム,5,牡4,56,ルメート,2:12.8,1,16-15-10-10,36.5,460(+4),[西] 坂口智康,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),7,7,18,ボーンディスウェイ,202506010911|18|ボーンディスウェイ,8,牡6,57,木幡巧也,2:12.9,アタマ,5-5-3-3,37.0,498(0),[東] 牧光二,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),8,8,15,エヒト,202506010911|15|エヒト,7,牡8,57,吉田豊,2:12.9,クビ,5-5-7-7,36.8,470(-4),[西] 森秀行,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),9,9,7,マイネルクリソーラ,202506010911|7|マイネルクリソーラ,4,牡6,57,津村明秀,2:13.0,1/2,11-11-14-12,36.2,462(+6),[東] 手塚貴久,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),10,10,9,ディープモンスター,202506010911|9|ディープモンスター,5,牡7,57,浜中俊,2:13.0,ハナ,16-17-13-14,36.4,466(-2),[西] 池江泰寿,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),11,11,5,カラテ,202506010911|5|カラテ,3,牡9,57,杉原誠人,2:13.2,1,14-15-17-15,36.0,538(-8),[西] 音無秀孝,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),12,12,2,レーベンスティール,202506010911|2|レーベンスティール,1,牡5,58,ルメール,2:13.2,クビ,7-7-7-7,37.1,492(+12),[東] 田中博康,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),13,13,16,チャックネイト,202506010911|16|チャックネイト,8,セ7,58,キング,2:13.4,1,2-2-1-1,37.9,498(+28),[東] 堀宣行,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),14,14,12,アラタ,202506010911|12|アラタ,6,牡8,57,大野拓弥,2:13.4,クビ,11-11-14-15,36.6,486(+12),[東] 和田勇介,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),15,15,3,ポタジェ,202506010911|3|ポタジェ,2,牡8,58,岩田望来,2:13.7,1.1/2,3-3-6-7,37.7,482(+10),[西] 友道康夫,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),16,16,6,ニシノレヴナント,202506010911|6|ニシノレヴナント,3,セ5,57,田辺裕信,2:14.1,2.1/2,18-18-18-18,36.7,500(+10),[東] 上原博之,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),17,17,14,ホウオウリアリティ,202506010911|14|ホウオウリアリティ,7,牡7,57,菅原明良,2:14.1,クビ,13-13-16-17,37.2,492(+6),[東] 高木登,https://db.netkeiba.com/race/202506010911/
202506010911,第66回アメリカジョッキーC(GII),18,18,17,アウスヴァール,202506010911|17|アウスヴァール,8,セ7,57,横山和生,2:14.2,クビ,1-1-2-3,38.6,490(0),[西] 昆貢,https://db.netkeiba.com/race/202506010911/
202508010611,第118回京都記念(GII),1,1,1,ヨーホーレイク,202508010611|1|ヨーホーレイク,1,牡7,57,岩田望来,2:15.7,,5-5-6-4,34.2,534(+20),[西] 友道康夫,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),2,2,3,リビアングラス,202508010611|3|リビアングラス,3,牡5,57,松山弘平,2:15.8,3/4,3-3-3-5,34.4,500(+4),[西] 矢作芳人,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),3,3,10,マコトヴェリーキー,202508010611|10|マコトヴェリーキー,7,牡5,57,北村友一,2:15.9,クビ,3-4-3-3,34.7,476(-4),[西] 上村洋行,https://db.netkeiba.com/race/202508010611/
