Race_ID,Race_Name,P1_Horse_No,P1_Horse_Name,P1_Canonical_Identity,P1_Finish_Time,P1_Margin,P1_Last3F,P2_Horse_No,P2_Horse_Name,P2_Canonical_Identity,P2_Finish_Time,P2_Margin,P2_Last3F,P3_Horse_No,P3_Horse_Name,P3_Canonical_Identity,P3_Finish_Time,P3_Margin,P3_Last3F,P4_Horse_No,P4_Horse_Name,P4_Canonical_Identity,P4_Finish_Time,P4_Margin,P4_Last3F,P5_Horse_No,P5_Horse_Name,P5_Canonical_Identity,P5_Finish_Time,P5_Margin,P5_Last3F
202506010911,第66回アメリカジョッキーC(GII),8,ダノンデサイル,202506010911|8|ダノンデサイル,2:12.1,,36.0,11,マテンロウレオ,202506010911|11|マテンロウレオ,2:12.2,3/4,36.3,13,コスモキュランダ,202506010911|13|コスモキュランダ,2:12.2,ハナ,36.4,4,ボルドグフーシュ,202506010911|4|ボルドグフーシュ,2:12.6,2.1/2,36.1,1,ライラック,202506010911|1|ライラック,2:12.7,クビ,36.3
202508010611,第118回京都記念(GII),1,ヨーホーレイク,202508010611|1|ヨーホーレイク,2:15.7,,34.2,3,リビアングラス,202508010611|3|リビアングラス,2:15.8,3/4,34.4,10,マコトヴェリーキー,202508010611|10|マコトヴェリーキー,2:15.9,クビ,34.7,2,バビット,202508010611|2|バビット,2:16.0,1/2,34.9,4,ソールオリエンス,202508010611|4|ソールオリエンス,2:16.1,1/2,34.1
202507020211,第61回東海テレビ杯金鯱賞(GII),6,クイーンズウォーク,202507020211|6|クイーンズウォーク,2:01.3,,36.3,2,ホウオウビスケッツ,202507020211|2|ホウオウビスケッツ,2:01.3,ハナ,36.8,4,キングズパレス,202507020211|4|キングズパレス,2:01.6,2,36.0,5,デシエルト,202507020211|5|デシエルト,2:01.7,1/2,39.0,7,ディープモンスター,202507020211|7|ディープモンスター,2:01.9,1,36.8
202509010811,第73回阪神大賞典(GII),9,サンライズアース,202509010811|9|サンライズアース,3:03.3,,35.0,7,マコトヴェリーキー,202509010811|7|マコトヴェリーキー,3:04.3,6,36.1,5,ブローザホーン,202509010811|5|ブローザホーン,3:04.4,1/2,35.5,1,ショウナンラプンタ,202509010811|1|ショウナンラプンタ,3:04.4,ハナ,35.2,2,ヴェローチェエラ,202509010811|2|ヴェローチェエラ,3:04.7,1.3/4,36.0
202506020211,第99回中山記念(GII),1,シックスペンス,202506020211|1|シックスペンス,1:44.8,,33.9,4,エコロヴァルツ,202506020211|4|エコロヴァルツ,1:44.8,ハナ,34.2,8,ソウルラッシュ,202506020211|8|ソウルラッシュ,1:45.0,1.1/4,34.1,5,タイムトゥヘヴン,202506020211|5|タイムトゥヘヴン,1:45.3,1.3/4,34.0,16,クルゼイロドスル,202506020211|16|クルゼイロドスル,1:45.3,クビ,34.6
202506030111,第73回日経賞(GII),8,マイネルエンペラー,202506030111|8|マイネルエンペラー,2:36.1,,37.0,6,チャックネイト,202506030111|6|チャックネイト,2:36.1,クビ,36.5,7,アーバンシック,202506030111|7|アーバンシック,2:36.2,クビ,36.6,15,リビアングラス,202506030111|15|リビアングラス,2:36.2,クビ,37.2,11,マイネルクリソーラ,202506030111|11|マイネルクリソーラ,2:36.2,アタマ,36.4
202501010811,第61回札幌記念(GII),9,トップナイフ,202501010811|9|トップナイフ,2:01.5,,36.2,15,ココナッツブラウン,202501010811|15|ココナッツブラウン,2:01.7,1,35.5,14,アラタ,202501010811|14|アラタ,2:01.8,3/4,35.0,6,ケイアイセナ,202501010811|6|ケイアイセナ,2:01.8,ハナ,37.0,10,ヴェローチェエラ,202501010811|10|ヴェローチェエラ,2:01.9,1/2,35.1
202505040211,第76回毎日王冠(GII),9,レーベンスティール,202505040211|9|レーベンスティール,1:44.0,,33.3,8,ホウオウビスケッツ,202505040211|8|ホウオウビスケッツ,1:44.1,1/2,33.8,10,サトノシャイニング,202505040211|10|サトノシャイニング,1:44.2,3/4,33.7,3,ディマイザキッド,202505040211|3|ディマイザキッド,1:44.4,1.1/2,33.2,2,エルトンバローズ,202505040211|2|エルトンバローズ,1:44.5,1/2,33.8
202508030211,第60回京都大賞典(GII),3,ディープモンスター,202508030211|3|ディープモンスター,2:23.9,,34.4,5,サンライズアース,202508030211|5|サンライズアース,2:24.0,1/2,35.0,8,ヴェルミセル,202508030211|8|ヴェルミセル,2:24.1,クビ,34.3,4,アドマイヤテラ,202508030211|4|アドマイヤテラ,2:24.2,1/2,34.8,18,ショウナンラプンタ,202508030211|18|ショウナンラプンタ,2:24.2,クビ,34.5
202505040611,第28回富士S(GII),11,ガイアフォース,202505040611|11|ガイアフォース,1:31.7,,33.3,14,ジャンタルマンタル,202505040611|14|ジャンタルマンタル,1:31.8,1/2,33.3,6,ソウルラッシュ,202505040611|6|ソウルラッシュ,1:32.1,1.3/4,33.4,8,ジュンブロッサム,202505040611|8|ジュンブロッサム,1:32.1,クビ,32.8,4,ウンブライル,202505040611|4|ウンブライル,1:32.1,クビ,33.2
202505010811,第42回フェブラリーS(GI),9,コスタノヴァ,202505010811|9|コスタノヴァ,1:35.5,,35.6,12,サンライズジパング,202505010811|12|サンライズジパング,1:35.7,3/4,35.2,14,ミッキーファイト,202505010811|14|ミッキーファイト,1:35.9,1.1/4,35.8,11,ペプチドナイル,202505010811|11|ペプチドナイル,1:35.9,クビ,35.8,1,エンペラーワケア,202505010811|1|エンペラーワケア,1:36.0,1/2,36.2
202509020411,第69回大阪杯(GI),5,ベラジオオペラ,202509020411|5|ベラジオオペラ,1:56.2,,34.1,13,ロードデルレイ,202509020411|13|ロードデルレイ,1:56.4,1,33.8,7,ヨーホーレイク,202509020411|7|ヨーホーレイク,1:56.5,1,33.5,14,エコロヴァルツ,202509020411|14|エコロヴァルツ,1:56.5,ハナ,33.8,2,ホウオウビスケッツ,202509020411|2|ホウオウビスケッツ,1:56.6,クビ,34.8
202508020411,第171回天皇賞(春)(GI),6,ヘデントール,202508020411|6|ヘデントール,3:14.0,,35.3,14,ビザンチンドリーム,202508020411|14|ビザンチンドリーム,3:14.0,アタマ,34.9,8,ショウナンラプンタ,202508020411|8|ショウナンラプンタ,3:14.5,3,36.0,5,サンライズアース,202508020411|5|サンライズアース,3:14.8,2,36.4,11,マイネルエンペラー,202508020411|11|マイネルエンペラー,3:15.0,1.1/4,36.7
